img_id,tag_list,rating
7446471,"['azur lane', 'deutschland (azur lane)', 'ioa2324', 'high resolution', '1girl', 'bangs', 'black hair', 'blue eyes', 'breasts', 'cleavage', 'female', 'gun', 'hair ornament', 'kimono', 'large breasts', 'long hair', 'long sleeves', 'multicolored hair', 'nengajou', 'new year', 'red hair', 'rigging', 'streaked hair', 'thighhighs', 'very long hair', 'wafuku', 'weapon', 'wide sleeves']", Safe
7446467,"['super mario bros.', 'bowsette', 'fan character', 'bowser', '1:1 aspect ratio', 'crown', 'female', 'pixiv id 433786', 'solo', 'super crown']", Safe
7446461,"['ajino (sakanahen)', 'high resolution', '1boy', '1girl', 'ahoge', 'black hair', 'demon girl', 'demon wings', 'fang', 'female', 'green hair', 'looking at viewer', 'male', 'pasties', 'pointed ears', 'red eyes', 'shirt', 'short hair', 'sitting', 'succubus', 'wings', 'yuuutsu-kun to succubus-san']", Questionable
7446466,"['fate (series)', 'fate/grand order', 'abigail williams (fate)', 'akira (aristole)', 'simple background', 'white background', '1girl', 'bangs', 'black bow', 'black hat', 'blonde', 'blue eyes', 'blush', 'bow', 'dress', 'female', 'hair bow', 'hair ornament', 'hat', 'long hair', 'long sleeves', 'looking at viewer', 'orange bow', 'parted bangs', 'petals', 'sleeves past fingers', 'sleeves past wrists', 'smile', 'solo', 'stuffed animal', 'stuffed toy', 'teddy bear', 'very long hair']", Safe
7446465,"[""luigi's mansion"", 'booette', 'boo', 'shuuichi (gothics)', 'simple background', 'grey background', '1girl', 'bangs', 'breasts', 'choker', 'cleavage', 'collar', 'crown', 'dress', 'female', 'frilled choker', 'frilled collar', 'frilled dress', 'frilled gloves', 'frills', 'ghost pose', 'gloves', 'light blush', 'long hair', 'looking at viewer', 'medium breasts', 'mini crown', 'open mouth', 'pale skin', 'purple eyes', 'purple tongue', 'sharp teeth', 'smile', 'solo', 'sparkle', 'standing', 'super crown', 'teeth', 'tilted headwear', 'tongue', 'tongue out', 'w arms', 'white choker', 'white dress', 'white gloves', 'white hair']", Safe
7446464,"['life is strange', 'maxine caulfield', 'chloe price', 'secaz', 'high resolution', '16:9 aspect ratio', 'uncensored', 'animated', '3d', 'video', 'webm', 'source filmmaker', 'has audio', '2girls', 'blue hair', 'brown hair', 'deepthroat', 'fellatio', 'female', 'male', 'multiple girls', 'oral', 'sex', 'short hair', 'teenager', 'watching']", Explicit
7446462,"['original', 'kazuharu kina', '1:1 aspect ratio', 'signature', '1girl', 'adjusting hair', 'black hair', 'blush', 'braid', 'breasts', 'brown eyes', 'cleavage', 'female', 'lips', 'long hair', 'looking at viewer', 'looking up', 'neckerchief', 'pale skin', 'parted lips', 'school uniform', 'serafuku', 'small breasts', 'snow', 'solo', 'tied hair', 'twin braids', 'untied', 'upper body', 'viewed from above', 'winter uniform']", Safe
7446468,"['kantai collection', 'atago (kantai collection)', 'kirisawa juuzou', '1:1 aspect ratio', 'dated', 'twitter username', 'traditional media', 'colored pencil (medium)', '1girl', 'beret', 'blonde', 'blue eyes', 'blue hat', 'blush', 'bowl', 'chopsticks', 'cup', 'drinking glass', 'eyebrows visible through hair', 'female', 'food', 'hat', 'holding', 'holding chopsticks', 'long hair', 'long sleeves', 'military', 'military uniform', 'noodles', 'numbered', 'parted lips', 'ramen', 'solo', 'uniform']", Safe
7446472,"['kantai collection', 'minegumo (kantai collection)', 'simple background', 'white background', '1:1 aspect ratio', 'traditional media', '1girl', 'arms behind back', 'arm warmers', 'bow', 'bowtie', 'braid', 'breasts', 'brown eyes', 'brown hair', 'closed mouth', 'female', 'heart', 'light brown hair', 'long hair', 'medium breasts', 'nona (goodboy)', 'plaid neckwear', 'pleated skirt', 'red neckwear', 'school uniform', 'shirt', 'short sleeves', 'skirt', 'smile', 'solo', 'suspenders', 'suspender skirt', 'tied hair', 'twin braids', 'upper body', 'white shirt']", Safe
7446460,"['girls und panzer', 'itsumi erika', 'ooarai military uniform', 'saunders military uniform', 'anglerfish', 'alisa (girls und panzer)', 'high resolution', 'monochrome', 'comic', 'greyscale', '4koma', '2girls', 'balloon', 'female', 'freckles', 'hair ornament', 'headphones', 'jacket', 'long hair', 'long sleeves', 'multiple girls', 'short twintails', 'star', 'star hair ornament', 'sutahiro (donta)', 'throat microphone', 'tied hair', 'twintails']", Safe
